fips,incidentType,num_disasters,has_data_center,num_data_centers
01087,Severe Ice Storm,0,0,0
01089,Severe Storm,1,1,2
01089,Fire,0,1,2
01089,Hurricane,2,1,2
01089,Winter Storm,0,1,2
01089,Flood,0,1,2
01089,Tornado,0,1,2
01089,Tropical Storm,0,1,2
01089,Snowstorm,0,1,2
01089,Coastal Storm,0,1,2
01089,Severe Ice Storm,0,1,2
01091,Severe Storm,0,0,0
01091,Fire,0,0,0
01091,Hurricane,3,0,0
01091,Winter Storm,0,0,0
01091,Flood,0,0,0
01091,Tornado,0,0,0
01091,Tropical Storm,0,0,0
01091,Snowstorm,0,0,0
01091,Coastal Storm,0,0,0
01091,Severe Ice Storm,0,0,0
01093,Severe Storm,3,0,0
01093,Fire,0,0,0
01093,Hurricane,2,0,0
01093,Winter Storm,0,0,0
01093,Flood,0,0,0
01093,Tornado,0,0,0
01093,Tropical Storm,0,0,0
01093,Snowstorm,0,0,0
01093,Coastal Storm,0,0,0
01093,Severe Ice Storm,0,0,0
01095,Severe Storm,1,0,0
01095,Fire,0,0,0
01095,Hurricane,2,0,0
01095,Winter Storm,0,0,0
01095,Flood,0,0,0
01095,Tornado,0,0,0
01095,Tropical Storm,0,0,0
01095,Snowstorm,0,0,0
01095,Coastal Storm,0,0,0
01095,Severe Ice Storm,0,0,0
01097,Severe Storm,1,0,0
01097,Fire,0,0,0
01097,Hurricane,4,0,0
01097,Winter Storm,0,0,0
01097,Flood,0,0,0
01097,Tornado,0,0,0
01097,Tropical Storm,0,0,0
01097,Snowstorm,0,0,0
01097,Coastal Storm,0,0,0
01097,Severe Ice Storm,0,0,0
01099,Severe Storm,0,0,0
01099,Fire,0,0,0
01099,Hurricane,4,0,0
01099,Winter Storm,0,0,0
01099,Flood,0,0,0
01099,Tornado,0,0,0
01099,Tropical Storm,0,0,0
01099,Snowstorm,0,0,0
01099,Coastal Storm,0,0,0
01099,Severe Ice Storm,0,0,0
01101,Severe Storm,0,1,1
01101,Fire,0,1,1
01101,Hurricane,2,1,1
01101,Winter Storm,0,1,1
01101,Flood,0,1,1
01101,Tornado,0,1,1
