fips,has_data_center,num_data_centers,num_disasters
19177,0,0,1
19179,0,0,1
19181,1,4,0
19183,0,0,1
19185,0,0,1
19187,0,0,2
19189,0,0,2
19191,0,0,2
19193,0,0,2
19195,0,0,3
19197,0,0,4
20001,0,0,4
20003,0,0,4
20005,0,0,1
20007,0,0,2
20009,0,0,6
20011,0,0,2
20013,0,0,2
20015,0,0,3
20017,0,0,3
20019,0,0,3
20021,0,0,3
20023,0,0,0
20025,0,0,4
20027,0,0,2
20029,0,0,3
20031,0,0,2
20033,0,0,4
20035,0,0,3
20037,0,0,2
20039,0,0,0
20041,0,0,2
20043,0,0,5
20045,0,0,2
20047,0,0,5
20049,0,0,3
20051,0,0,2
20053,0,0,3
20055,0,0,2
20057,0,0,5
20059,0,0,2
20061,0,0,5
20063,0,0,1
20065,0,0,2
20067,0,0,1
20069,0,0,5
20071,0,0,3
20073,0,0,4
20075,0,0,2
20077,0,0,1
20079,0,0,5
20081,0,0,1
20083,0,0,5
20085,0,0,0
20087,0,0,2
20089,0,0,1
20091,1,1,1
20093,0,0,3
20095,0,0,2
20097,0,0,1
20099,0,0,0
20101,0,0,2
20103,1,1,2
20105,0,0,3
20107,0,0,3
20109,0,0,2
20111,0,0,2
20113,0,0,1
20115,0,0,2
20117,0,0,3
20119,0,0,4
20121,0,0,1
20123,0,0,1
20125,0,0,2
20127,0,0,6
20129,0,0,1
20131,0,0,2
20133,0,0,4
20135,0,0,3
20137,0,0,1
20139,0,0,3
20141,0,0,2
20143,0,0,5
20145,0,0,7
20147,0,0,4
20149,0,0,3
20151,0,0,2
20153,0,0,1
20155,0,0,5
20157,0,0,1
20159,0,0,4
20161,0,0,3
20163,0,0,2
20165,0,0,4
20167,0,0,4
20169,0,0,3
20171,0,0,2
20173,0,0,0
20175,0,0,0
20177,0,0,1
20179,0,0,1
20181,0,0,0
20183,0,0,2
20185,0,0,6
20187,0,0,1
20189,0,0,1
20191,0,0,4
20193,0,0,2
20195,0,0,3
20197,0,0,6
20199,0,0,5
20201,0,0,3
20203,0,0,2
20205,0,0,3
20207,0,0,4
20209,1,1,4
21001,0,0,3
21003,0,0,2
21005,0,0,3
21007,0,0,3
21009,0,0,3
21011,0,0,2
21013,0,0,5
21015,0,0,0
21017,0,0,2
21019,0,0,6
21021,0,0,2
21023,0,0,1
21025,0,0,7
21027,0,0,4
21029,0,0,3
21031,0,0,4
21033,0,0,5
21035,0,0,3
21037,0,0,1
21039,0,0,3
21041,0,0,1
21043,0,0,7
21045,0,0,5
21047,0,0,4
21049,0,0,4
21051,0,0,10
21053,0,0,3
21055,0,0,3
21057,0,0,5
21059,0,0,1
21061,0,0,4
21063,0,0,5
21065,0,0,6
21067,1,1,3
21069,0,0,2
21071,0,0,7
21073,0,0,3
21075,0,0,4
21077,0,0,1
21079,0,0,3
21081,0,0,2
21083,0,0,5
21085,0,0,4
21087,0,0,3
21089,0,0,6
21091,0,0,2
21093,0,0,1
21095,0,0,8
21097,0,0,2
21099,0,0,4
21101,0,0,3
21103,1,2,3
21105,0,0,6
21107,0,0,4
21109,0,0,6
21111,1,1,2
21113,0,0,3
21115,0,0,9
21117,0,0,0
21119,0,0,6
21121,0,0,4
21123,0,0,2
21125,0,0,5
21127,0,0,7
21129,0,0,8
21131,0,0,7
21133,0,0,6
21135,0,0,3
21137,0,0,4
21139,0,0,3
21141,0,0,3
21143,0,0,4
21145,0,0,4
21147,0,0,5
21149,0,0,2
21151,0,0,4
21153,0,0,7
21155,0,0,5
21157,0,0,5
21159,0,0,5
21161,0,0,2
21163,1,1,4
21165,0,0,6
21167,0,0,2
21169,0,0,4
21171,0,0,3
21173,0,0,2
21175,0,0,6
21177,0,0,4
21179,0,0,2
21181,0,0,4
21183,0,0,5
21185,1,2,1
21187,0,0,2
21189,0,0,10
21191,0,0,1
21193,0,0,7
21195,0,0,5
21197,0,0,8
21199,0,0,4
21201,0,0,2
21203,0,0,6
21205,0,0,2
21207,0,0,3
21209,0,0,0
21211,0,0,3
21213,0,0,2
21215,0,0,3
21217,0,0,4
21219,0,0,3
21221,0,0,3
21223,0,0,1
21225,0,0,5
21227,0,0,5
21229,0,0,4
21231,0,0,4
21233,0,0,2
21235,0,0,9
21237,0,0,7
21239,0,0,3
22001,0,0,15
22003,0,0,16
22005,0,0,18
22007,0,0,20
22009,0,0,14
22011,0,0,16
22013,0,0,13
22015,1,1,13
22017,1,2,13
22019,0,0,16
22021,0,0,14
22023,0,0,16
22025,0,0,16
22027,0,0,13
22029,0,0,16
22031,0,0,13
22033,1,1,18
22035,0,0,14
22037,1,1,17
22039,0,0,15
22041,0,0,14
22043,0,0,13
22045,0,0,16
22047,0,0,20
22049,0,0,13
22051,0,0,17
22053,0,0,15
22055,0,0,17
22057,0,0,18
22059,0,0,13
22061,0,0,14
22063,0,0,17
22065,0,0,13
22067,1,1,14
22069,0,0,13
22071,0,0,17
22073,0,0,15
22075,0,0,17
22077,0,0,18
22079,0,0,17
22081,0,0,13
22083,1,1,13
22085,0,0,13
22087,0,0,17
22089,0,0,17
22091,0,0,17
22093,0,0,16
22095,0,0,17
22097,0,0,17
22099,0,0,19
22101,0,0,19
22103,0,0,16
22105,0,0,17
22107,0,0,13
22109,0,0,19
22111,0,0,14
22113,0,0,16
22115,0,0,17
22117,0,0,16
22119,0,0,13
22121,0,0,15
22123,1,1,13
22125,1,1,19
22127,0,0,13
23001,0,0,2
23003,0,0,1
23005,0,0,3
23007,0,0,5
23009,0,0,3
23011,0,0,3
23013,0,0,5
23015,1,1,3
23017,0,0,5
23019,0,0,2
23021,0,0,2
23023,0,0,3
23025,0,0,4
23027,0,0,6
23029,0,0,3
23031,0,0,5
24001,0,0,0
24003,0,0,0
24005,1,1,0
24009,0,0,1
24011,0,0,0
24013,0,0,0
24015,0,0,0
24017,0,0,0
24019,0,0,1
24021,1,1,0
24023,0,0,0
24025,0,0,0
24027,0,0,0
24029,0,0,0
24031,1,1,0
24033,1,2,0
24035,0,0,0
24037,0,0,1
24039,0,0,0
24041,0,0,0
24043,0,0,0
24045,0,0,0
24047,0,0,0
24510,1,2,0
25001,0,0,3
25003,0,0,1
25005,0,0,3
25007,0,0,1
25009,0,0,1
25011,0,0,1
25013,0,0,1
25015,0,0,1
25017,1,1,1
25019,0,0,1
25021,0,0,2
25023,0,0,2
25025,0,0,2
25027,0,0,2
26001,0,0,0
26003,0,0,0
26005,1,1,0
26007,0,0,0
26009,0,0,0
26011,0,0,0
26013,0,0,0
26015,1,1,0
26017,0,0,0
26019,0,0,0
26021,0,0,0
26023,0,0,0
26025,0,0,0
26027,0,0,0
26029,0,0,0
26031,0,0,0
26033,0,0,0
26035,0,0,0
26037,0,0,0
26039,0,0,0
26041,0,0,0
26043,0,0,0
26045,0,0,1
26047,0,0,0
26049,0,0,0
26051,0,0,0
26053,0,0,0
26055,0,0,0
26057,0,0,0
26059,0,0,0
26061,0,0,0
26063,0,0,0
26065,1,1,1
26067,1,1,2
26069,0,0,0
26071,0,0,0
26073,0,0,0
26075,0,0,0
26077,1,1,0
26079,1,1,0
26081,1,2,1
26083,0,0,0
26085,0,0,0
26087,0,0,0
26089,0,0,0
26091,1,2,0
26093,1,1,1
26095,0,0,0
26097,0,0,0
26099,0,0,2
26101,0,0,0
26103,0,0,0
26105,0,0,0
26107,0,0,0
26109,0,0,0
26111,0,0,0
26113,0,0,0
26115,1,4,1
26117,0,0,0
26119,0,0,0
26121,0,0,0
26123,0,0,0
26125,1,1,2
26127,0,0,0
26129,0,0,0
26131,0,0,0
26133,0,0,0
26135,0,0,0
26137,0,0,0
26139,0,0,0
26141,0,0,0
26143,0,0,0
26145,0,0,0
26147,0,0,0
26149,0,0,0
26151,0,0,0
26153,0,0,0
26155,1,1,0
26157,0,0,0
26159,0,0,0
26161,1,5,1
26163,1,2,2
26165,0,0,0
27001,0,0,3
27003,0,0,0
27005,0,0,0
27007,0,0,1
27009,0,0,0
27011,0,0,4
27013,0,0,2
27015,0,0,2
27017,1,1,1
27019,0,0,1
27021,0,0,3
27023,0,0,4
27025,1,1,0
27027,0,0,2
27029,0,0,1
27031,0,0,2
27033,0,0,3
27035,0,0,1
27037,1,3,0
27039,1,1,1
27041,0,0,2
27043,0,0,2
27045,0,0,2
27047,0,0,2
27049,1,2,2
27051,0,0,4
27053,1,1,0
27055,0,0,3
27057,0,0,0
27059,0,0,0
27061,0,0,2
27063,0,0,2
27065,0,0,1
27067,0,0,2
27069,0,0,3
27071,0,0,1
27073,0,0,4
27075,0,0,2
27077,0,0,2
27079,0,0,2
27081,0,0,2
27083,0,0,2
27085,0,0,2
27087,0,0,3
